year,recipient,sec_01_arms_transfer_tiv,sec_01_arms_transfer_tiv_delivered,sec_01_arms_transfer_orders_ct,sec_01_missing_transfer_tiv,sec_02_surveillance_usd,sec_02_surveillance_ct,sec_03_military_engagement_ct,sec_04_joint_exercise_ct,dev_02_infrastructure_usd,dev_02_infrastructure_ct,civ_02_healthcare_usd,civ_02_healthcare_ct,civ_03_outbound_visits_ct,civ_03_inbound_visits_ct,civ_03_total_visits_ct,civ_04_csps_ct,civ_05_judicial_engagement_ct,civ_06_ci_ct,civ_06_cc_ct,civ_06_ci_cc_ct,lat,lon
2017,Afghanistan,1.5,1.5,1,0,NA,NA,2,NA,163275809.4189704,5,NA,NA,0,0,0,0,1,0,0,0,33.7680065,66.2385139
2005,Indonesia,2.7,2.7,1,0,NA,NA,NA,NA,395066482.0962311,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-2.4833826,117.8902853
2006,Indonesia,13,13,1,0,NA,NA,2,NA,2955096764.4299617,1,5702569.738534382,1,NA,NA,NA,0,NA,NA,NA,NA,-2.4833826,117.8902853
2008,Indonesia,108,108,3,0,NA,NA,2,NA,3071943569.7023706,7,736202.0701300673,1,NA,NA,NA,0,NA,NA,NA,NA,-2.4833826,117.8902853
2009,Indonesia,64.5,64.5,4,0,NA,NA,2,NA,4725630436.078779,10,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-2.4833826,117.8902853
2011,Indonesia,102.5,86.5,2,16,NA,NA,3,1,372233279.9148881,4,NA,NA,2,0,2,0,NA,2,0,2,-2.4833826,117.8902853
2013,Indonesia,8,8,1,0,NA,NA,4,1,4249615701.906606,6,NA,NA,1,0,1,0,NA,1,0,1,-2.4833826,117.8902853
2014,Indonesia,10,10,1,0,NA,NA,4,3,1822462140.3676152,11,NA,NA,0,1,1,2,1,0,1,1,-2.4833826,117.8902853
2015,Indonesia,10.4,10.4,3,0,NA,NA,3,NA,8255373840.820095,22,NA,NA,1,1,2,0,NA,1,1,2,-2.4833826,117.8902853
2016,Indonesia,12,12,2,0,NA,NA,3,2,4967849745.952227,16,NA,NA,0,1,1,6,NA,0,1,1,-2.4833826,117.8902853
2017,Indonesia,27.6,27.6,3,0,NA,NA,1,NA,7540367323.600352,25,NA,NA,0,1,1,0,1,0,1,1,-2.4833826,117.8902853
2023,Indonesia,5,5,1,0,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-2.4833826,117.8902853
2015,Kazakhstan,11,11,2,0,NA,NA,1,1,2887638859.2785444,4,NA,NA,1,3,4,0,1,1,3,4,48.1012954,66.7780818
2006,Lao People's Democratic Republic,6.5,6.5,1,0,NA,NA,1,NA,25480247.23164072,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20.0171109,103.378253
2010,Lao People's Democratic Republic,16,16,1,0,NA,NA,2,NA,588404107.8418888,7,NA,NA,0,1,1,0,NA,0,1,1,20.0171109,103.378253
2012,Lao People's Democratic Republic,16,16,1,0,NA,NA,3,NA,808715488.458196,10,0,3,1,2,3,0,NA,1,2,3,20.0171109,103.378253
2015,Lao People's Democratic Republic,2.16,2.16,1,0,NA,NA,3,NA,774172247.0146557,8,0,1,0,2,2,0,NA,0,2,2,20.0171109,103.378253
2016,Lao People's Democratic Republic,2.4,2.4,1,0,NA,NA,2,NA,5134602908.867711,18,39161596.84957916,2,1,4,5,1,NA,1,4,5,20.0171109,103.378253
2017,Lao People's Democratic Republic,52.3,52.3,4,0,NA,NA,2,NA,3493867006.590027,17,113031949.54854625,4,1,1,2,0,1,1,1,2,20.0171109,103.378253
2018,Lao People's Democratic Republic,8,8,1,0,NA,NA,2,1,489309145.4855636,11,0,2,0,0,0,0,NA,0,0,0,20.0171109,103.378253
2022,Lao People's Democratic Republic,3.2,3.2,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,20.0171109,103.378253
2008,Malaysia,5.12,5.12,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.5693754,102.2656823
2017,Malaysia,110,110,1,0,NA,NA,4,NA,4930141865.081237,5,NA,NA,0,1,1,1,1,0,1,1,4.5693754,102.2656823
2001,Myanmar,30.5,30.5,2,0,NA,NA,NA,NA,300449298.02227706,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2002,Myanmar,56.25,56.25,1,0,NA,NA,1,NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2005,Myanmar,21.5,21.5,2,0,1251863.7455156266,2,NA,NA,100185256.60162045,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2006,Myanmar,234,234,1,0,NA,NA,1,NA,985393951.0747466,7,142564.24346335928,1,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2007,Myanmar,18,18,1,0,NA,NA,1,NA,1867025111.960337,7,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2008,Myanmar,11.6,11.6,2,0,NA,NA,3,NA,12270034.502167715,1,0,1,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2009,Myanmar,390,316.5,5,73.5,NA,NA,1,NA,433240009.4704117,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2010,Myanmar,164.3,164.3,6,0,NA,NA,2,NA,6253853068.268192,7,NA,NA,1,1,2,0,NA,1,1,2,17.1750495,95.9999652
2011,Myanmar,165.4,165.4,6,0,NA,NA,3,NA,550128169.2405095,7,NA,NA,0,1,1,0,NA,0,1,1,17.1750495,95.9999652
2013,Myanmar,408.8,408.8,3,0,NA,NA,3,NA,377540898.17390823,8,0,1,0,2,2,0,NA,0,2,2,17.1750495,95.9999652
2015,Myanmar,197.9,197.9,6,0,49168057.354937315,2,2,NA,234215488.42844316,3,NA,NA,0,2,2,1,NA,0,2,2,17.1750495,95.9999652
2016,Myanmar,18.75,18.75,1,0,NA,NA,1,NA,114600905.52742906,5,2060715.9543863744,1,0,1,1,0,NA,0,1,1,17.1750495,95.9999652
2019,Myanmar,0,2.4,1,-2.4,336819.73080908763,1,1,NA,140337122.22860533,4,0,4,0,0,0,0,1,0,0,0,17.1750495,95.9999652
2020,Myanmar,164,164,3,0,NA,NA,1,NA,53724673.19571708,2,14951582.21480535,67,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2021,Myanmar,23,23,1,0,NA,NA,NA,NA,140956814.85926467,1,184552263.38797775,29,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2023,Myanmar,23,23,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1750495,95.9999652
2005,Nepal,1.75,1.75,1,0,NA,NA,1,NA,12444945.001004484,1,6845352.109037502,1,NA,NA,NA,0,NA,NA,NA,NA,28.3780464,83.9999901
2015,Nepal,24.45,24.45,1,0,NA,NA,NA,NA,34068365.911237724,4,NA,NA,0,1,1,0,NA,0,1,1,28.3780464,83.9999901
2001,Pakistan,527,527,2,0,NA,NA,1,NA,557534393.3820277,6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,30.3308401,71.247499
2002,Pakistan,121,121,1,0,NA,NA,4,NA,447834664.7306471,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,30.3308401,71.247499
2003,Pakistan,170.55,170.55,6,0,NA,NA,2,1,500979278.4804542,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,30.3308401,71.247499
2005,Pakistan,1163.5,1163.5,5,0,427747.343218468,1,5,1,979426289.777213,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,30.3308401,71.247499
2006,Pakistan,421,404.4,2,16.600000000000023,NA,NA,3,1,533362849.84669405,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,30.3308401,71.247499
2008,Pakistan,868,849.4,8,18.600000000000023,24540069.00433554,1,3,NA,558980795.0362403,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,30.3308401,71.247499
2009,Pakistan,163.6,163.6,3,0,NA,NA,7,2,1648734421.1091013,8,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,30.3308401,71.247499
2010,Pakistan,296.4,296.4,4,0,307586899.00188696,3,6,2,3551377057.0763855,11,0,1,1,2,3,0,NA,1,2,3,30.3308401,71.247499
2011,Pakistan,1075,1075,5,0,NA,NA,3,4,1040296555.9760053,6,1505768.2190876505,2,0,2,2,0,NA,0,2,2,30.3308401,71.247499
2012,Pakistan,1315,631.2,1,683.8,NA,NA,4,NA,9473397.13759261,1,NA,NA,0,3,3,0,NA,0,3,3,30.3308401,71.247499
2013,Pakistan,377,377,4,0,NA,NA,4,1,1205529721.793624,3,NA,NA,1,1,2,0,NA,1,1,2,30.3308401,71.247499
2014,Pakistan,333,333,4,0,NA,NA,4,2,1088235274.7306304,9,NA,NA,0,4,4,0,NA,0,4,4,30.3308401,71.247499
2015,Pakistan,2877.88,230.88,8,2647,18976170.728782304,1,4,4,13631680354.631655,31,10167232.527316026,2,1,2,3,0,NA,1,2,3,30.3308401,71.247499
2017,Pakistan,1623.6,1623.6,4,0,NA,NA,6,6,8592914320.033094,27,190771.222866745,1,0,1,1,0,1,0,1,1,30.3308401,71.247499
2017,Pakistan,1623.6,1623.6,4,0,NA,NA,6,6,8592914320.033094,27,190771.222866745,1,0,1,1,0,1,0,1,1,30.3308401,71.247499
2018,Pakistan,1010.6,700.5,5,310.1,NA,NA,7,2,1775455401.3966014,5,12780556.398043621,6,0,3,3,1,1,0,3,3,30.3308401,71.247499
2019,Pakistan,3202.5,952.5,4,2250,183042.50967250246,5,7,5,363345848.3212467,4,50787.898702383216,1,0,2,2,0,1,0,2,2,30.3308401,71.247499
2019,Pakistan,3202.5,952.5,4,2250,183042.50967250246,5,7,5,363345848.3212467,4,50787.898702383216,1,0,2,2,0,1,0,2,2,30.3308401,71.247499
2020,Pakistan,83.68,83.68,2,0,0,1,2,2,1468211843.2979178,6,21273025.73381072,28,NA,NA,NA,0,1,NA,NA,NA,30.3308401,71.247499
2021,Pakistan,1523,1110.5,3,412.5,NA,NA,3,3,1908958006.9511845,8,94642432.83407772,10,NA,NA,NA,0,2,NA,NA,NA,30.3308401,71.247499
2015,Russia,33.6,28.8,1,4.800000000000001,NA,NA,7,3,2120361362.3843393,5,NA,NA,2,2,4,0,2,2,2,4,64.6863136,97.7453061
2015,Russia,33.6,28.8,1,4.800000000000001,NA,NA,7,3,2120361362.3843393,5,NA,NA,2,2,4,0,2,2,2,4,64.6863136,97.7453061
2022,Russia,1.2,1.2,1,0,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,64.6863136,97.7453061
2022,Russia,1.2,1.2,1,0,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,64.6863136,97.7453061
2017,Tajikistan,3,3,2,0,NA,NA,1,NA,407598357.4997671,8,NA,NA,0,1,1,0,1,0,1,1,38.6281733,70.8156541
2018,Tajikistan,1.4,1.4,1,0,NA,NA,2,1,324773469.6379954,12,NA,NA,1,1,2,0,1,1,1,2,38.6281733,70.8156541
2001,Kyrgyz Republic,NA,NA,NA,NA,1359417.653715465,1,NA,NA,50978162.014329925,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,41.5089324,74.724091
2002,Afghanistan,NA,NA,NA,NA,4391675.456309741,1,NA,NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,33.7680065,66.2385139
2002,Kazakhstan,NA,NA,NA,NA,337821.1889469038,1,2,NA,NA,NA,0,1,NA,NA,NA,0,NA,NA,NA,NA,48.1012954,66.7780818
2002,Tajikistan,NA,NA,NA,NA,1791327.0708453536,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,38.6281733,70.8156541
2003,Indonesia,NA,NA,NA,NA,73107.05267898036,1,NA,NA,1767729317.9984858,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-2.4833826,117.8902853
2003,Kyrgyz Republic,NA,NA,NA,NA,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,41.5089324,74.724091
2004,Lao People's Democratic Republic,NA,NA,NA,NA,4002001.435378583,1,2,NA,1099595322.0211315,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20.0171109,103.378253
2006,Philippines,NA,NA,NA,NA,114051394.77068675,1,2,NA,910010682.8494219,1,285128.48692671856,1,NA,NA,NA,0,NA,NA,NA,NA,14.5904492,120.9803621
2007,Kazakhstan,NA,NA,NA,NA,797086.9547176266,1,NA,NA,14549072.005504843,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,48.1012954,66.7780818
2007,Philippines,NA,NA,NA,NA,211705353.15345,1,3,NA,NA,NA,3710124.10929401,1,NA,NA,NA,0,NA,NA,NA,NA,14.5904492,120.9803621
2010,Nepal,NA,NA,NA,NA,6608047.063973821,1,1,NA,0,1,0,1,0,1,1,0,NA,0,1,1,28.3780464,83.9999901
2010,Tajikistan,NA,NA,NA,NA,1035770.897585488,1,NA,NA,278859868.7300406,2,NA,NA,1,2,3,0,NA,1,2,3,38.6281733,70.8156541
2011,Tajikistan,NA,NA,NA,NA,638499.722746133,1,2,NA,36410811.71693142,2,NA,NA,0,0,0,0,NA,0,0,0,38.6281733,70.8156541
2012,Afghanistan,NA,NA,NA,NA,895288.0811351251,2,1,NA,NA,NA,NA,NA,0,1,1,0,NA,0,1,1,33.7680065,66.2385139
2012,Myanmar,NA,NA,NA,NA,0,1,4,NA,716510240.825676,6,7391331.832627205,1,0,1,1,0,NA,0,1,1,17.1750495,95.9999652
2013,Nepal,NA,NA,NA,NA,41047464.9525782,1,NA,NA,41047464.9525782,1,NA,NA,0,0,0,0,NA,0,0,0,28.3780464,83.9999901
2013,Tajikistan,NA,NA,NA,NA,30479292.402618673,3,NA,NA,275776447.5798079,8,NA,NA,0,1,1,0,NA,0,1,1,38.6281733,70.8156541
2014,Afghanistan,NA,NA,NA,NA,1206048.481479035,2,NA,NA,1596004.157157261,1,NA,NA,0,2,2,0,NA,0,2,2,33.7680065,66.2385139
2014,Myanmar,NA,NA,NA,NA,0,1,3,NA,455042001.74315584,4,943746.7824182406,3,1,2,3,1,1,1,2,3,17.1750495,95.9999652
2015,Mongolia,NA,NA,NA,NA,88738397.64078598,2,2,4,1493876439.5971766,7,NA,NA,0,3,3,0,NA,0,3,3,46.8250388,103.8499736
2016,Mongolia,NA,NA,NA,NA,2066440.1797515757,1,2,NA,612535342.8312725,7,NA,NA,1,0,1,0,NA,1,0,1,46.8250388,103.8499736
2016,Philippines,NA,NA,NA,NA,9939491.586187618,2,2,NA,2505964729.985829,6,NA,NA,0,1,1,4,NA,0,1,1,14.5904492,120.9803621
2017,Mongolia,NA,NA,NA,NA,381542.44573349,1,NA,1,173301274.19443068,3,NA,NA,0,1,1,0,NA,0,1,1,46.8250388,103.8499736
2017,Myanmar,NA,NA,NA,NA,15469.515833759113,2,2,2,489191339.2945992,7,NA,NA,0,2,2,0,1,0,2,2,17.1750495,95.9999652
2018,Myanmar,NA,NA,NA,NA,0,1,6,NA,123203664.74705227,13,1285299.2838174328,6,0,0,0,0,NA,0,0,0,17.1750495,95.9999652
2019,Philippines,NA,NA,NA,NA,228255.59614482886,1,2,NA,905467707.8379476,5,NA,NA,0,2,2,0,NA,0,2,2,14.5904492,120.9803621
2021,Philippines,NA,NA,NA,NA,308697859.96231306,4,NA,NA,308697859.96231306,2,142276997.16762787,17,NA,NA,NA,0,NA,NA,NA,NA,14.5904492,120.9803621
2000,Malaysia,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.5693754,102.2656823
2001,India,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,22.3511148,78.6677428
2001,Viet Nam,NA,NA,NA,NA,NA,NA,1,NA,10195632.402865998,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,15.9266657,107.9650855
2002,Brunei Darussalam,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.4137155,114.5653908
2002,India,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,22.3511148,78.6677428
2002,Indonesia,NA,NA,NA,NA,NA,NA,2,NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-2.4833826,117.8902853
2002,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,41.5089324,74.724091
2002,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,2,NA,239024318.77510217,5,13980761.979000343,1,NA,NA,NA,0,NA,NA,NA,NA,20.0171109,103.378253
2002,Mongolia,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2702569.5115752276,1,NA,NA,NA,0,NA,NA,NA,NA,46.8250388,103.8499736
2002,Nepal,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,NA,NA,NA,0,NA,NA,NA,NA,28.3780464,83.9999901
2002,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3736611,127.0870417
2002,Philippines,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,14.5904492,120.9803621
2002,Russia,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,64.6863136,97.7453061
2002,South Korea,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.638392,127.6961188
2002,Viet Nam,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,15.9266657,107.9650855
2003,Brunei Darussalam,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.4137155,114.5653908
2003,India,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,22.3511148,78.6677428
2003,Japan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.5748441,139.2394179
2003,Kazakhstan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,48.1012954,66.7780818
2003,Malaysia,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.5693754,102.2656823
2003,Mongolia,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,46.8250388,103.8499736
2003,Myanmar,NA,NA,NA,NA,NA,NA,2,NA,545047278.7903254,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2003,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,40.3736611,127.0870417
